codigo_unico,ubigeo,departamento,provincia,distrito,sector,categoria,razon_soc,total_atenciones,total_atendidos,meses_reporte
1,160101,LORETO,MAYNAS,IQUITOS,MINSA,II-2,"HOSPITAL IQUITOS ""CESAR GARAYAR GARCÍA""",63691,54120,12
3,160108,LORETO,MAYNAS,PUNCHANA,GOBIERNO REGIONAL,III-1,"HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""",58663,49119,12
66,160107,LORETO,MAYNAS,NAPO,GOBIERNO REGIONAL,II-1,HOSPITAL II-1 SANTA CLOTILDE,3313,3313,12
162,160601,LORETO,UCAYALI,CONTAMANA,GOBIERNO REGIONAL,II-1,HOSPITAL II-I  CONTAMANA,99076,11893,12
210,160201,LORETO,ALTO AMAZONAS,YURIMAGUAS,GOBIERNO REGIONAL,II-2,HOSPITAL II-2 SANTA GEMA DE YURIMAGUAS,34347,15144,12
308,120301,JUNIN,CHANCHAMAYO,CHANCHAMAYO,GOBIERNO REGIONAL,II-2,HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO CESAR DEMARINI CARO,14720,13431,12
318,120302,JUNIN,CHANCHAMAYO,PERENE,GOBIERNO REGIONAL,I-4,VILLA PERENE,2531,2428,12
340,120303,JUNIN,CHANCHAMAYO,PICHANAQUI,GOBIERNO REGIONAL,II-1,HOSPITAL DE APOYO PICHANAKI,16129,14735,12
354,120305,JUNIN,CHANCHAMAYO,SAN RAMON,GOBIERNO REGIONAL,I-4,SAN RAMON,11413,10425,12
365,120401,JUNIN,JAUJA,JAUJA,GOBIERNO REGIONAL,II-1,HOSPITAL DOMINGO OLAVEGOYA,20630,10690,12
432,120601,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,II-1,DE APOYO MANUEL HIGA ARAKAKI,26173,12039,12
434,120604,JUNIN,SATIPO,MAZAMARI,GOBIERNO REGIONAL,I-4,MAZAMARI,14246,7690,12
442,120606,JUNIN,SATIPO,PANGOA,GOBIERNO REGIONAL,II-1,SAN MARTIN DE PANGOA,10636,10614,12
519,120501,JUNIN,JUNIN,JUNIN,GOBIERNO REGIONAL,II-1,HOSPITAL DE APOYO JUNIN,3054,3052,12
520,120701,JUNIN,TARMA,TARMA,GOBIERNO REGIONAL,II-2,DE APOYO FELIX MAYORCA SOTO,13086,12443,12
521,120702,JUNIN,TARMA,ACOBAMBA,GOBIERNO REGIONAL,I-4,ACOBAMBA,1464,1410,12
542,120704,JUNIN,TARMA,HUASAHUASI,GOBIERNO REGIONAL,I-4,HUASAHUASI,1061,1025,12
