codigo_unico,nombre_del_establecimiento,clasificacion,categoria,departamento,provincia,distrito,ubigeo,condicion,institucion,longitud,latitud,tiene_coordenadas
16618,SONRIE MAS,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,I-1,LIMA,LIMA,SANTIAGO DE SURCO,150140,EN FUNCIONAMIENTO,PRIVADO,,,False
7050,AMBATO,PUESTOS DE SALUD O POSTAS DE SALUD,I-1,CAJAMARCA,CUTERVO,SANTA CRUZ,060611,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-78.85838013,-6.1335228,True
99,SANTA ISABEL DE YUMBATURO,PUESTOS DE SALUD O POSTAS DE SALUD,I-1,LORETO,LORETO,PARINARI,160302,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-74.25813893,-4.58150907,True
19555,DENTOCAPLINA,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,Sin Categoría,TACNA,TACNA,TACNA,230101,EN FUNCIONAMIENTO,PRIVADO,,,False
18792,MEDICO DE FAMILIA MANTARA,PUESTOS DE SALUD O POSTAS DE SALUD,I-2,JUNIN,TARMA,TARMA,120701,EN FUNCIONAMIENTO,OTRO,,,False
21749,ÓPTICA OCCHI BELLI,CENTROS OPTICOS,Sin Categoría,JUNIN,HUANCAYO,HUANCAYO,120101,EN FUNCIONAMIENTO,PRIVADO,,,False
7278,PUESTO DE SALUD HEROES DEL CENEPA,PUESTOS DE SALUD O POSTAS DE SALUD,I-2,LIMA,LIMA,VILLA EL SALVADOR,150142,EN FUNCIONAMIENTO,MINSA,-76.9306076,-12.2486993,True
16766,SERVIMEDIC FERNANDEZ,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,Sin Categoría,LIMA,LIMA,ATE,150103,EN FUNCIONAMIENTO,PRIVADO,,,False
16753,GIANCARLO YVAN ALFARO RAMOS,CENTRO ODONTOLOGICO,I-1,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,070103,EN FUNCIONAMIENTO,PRIVADO,,,False
18773,CONSULTORIO ODONTOLOGICO ORALSAINE,CENTRO ODONTOLOGICO,Sin Categoría,LIMA,LIMA,LOS OLIVOS,150117,EN FUNCIONAMIENTO,PRIVADO,,,False
19584,ESTETICA DENTAL SONRIE,CENTRO ODONTOLOGICO,Sin Categoría,LIMA,LIMA,SAN LUIS,150134,EN FUNCIONAMIENTO,PRIVADO,,,False
