codigo_unico,nombre_del_establecimiento,clasificacion,categoria,departamento,provincia,distrito,ubigeo,condicion,institucion,longitud,latitud,tiene_coordenadas,sector,razon_soc,total_atenciones,total_atendidos,meses_reporte,tiene_emergencia,dep_distrito,prov_distrito,nom_distrito
16618,SONRIE MAS,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,I-1,LIMA,LIMA,SANTIAGO DE SURCO,150140,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,LIMA,LIMA,SANTIAGO DE SURCO
7050,AMBATO,PUESTOS DE SALUD O POSTAS DE SALUD,I-1,CAJAMARCA,CUTERVO,SANTA CRUZ,060611,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-78.85838013,-6.1335228,True,,,0,0,0,False,CAJAMARCA,CUTERVO,SANTA CRUZ
99,SANTA ISABEL DE YUMBATURO,PUESTOS DE SALUD O POSTAS DE SALUD,I-1,LORETO,LORETO,PARINARI,160302,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-74.25813893,-4.58150907,True,,,0,0,0,False,LORETO,LORETO,PARINARI
19555,DENTOCAPLINA,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,Sin Categoría,TACNA,TACNA,TACNA,230101,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,TACNA,TACNA,TACNA
18792,MEDICO DE FAMILIA MANTARA,PUESTOS DE SALUD O POSTAS DE SALUD,I-2,JUNIN,TARMA,TARMA,120701,EN FUNCIONAMIENTO,OTRO,,,False,,,0,0,0,False,JUNIN,TARMA,TARMA
21749,ÓPTICA OCCHI BELLI,CENTROS OPTICOS,Sin Categoría,JUNIN,HUANCAYO,HUANCAYO,120101,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,JUNIN,HUANCAYO,HUANCAYO
7278,PUESTO DE SALUD HEROES DEL CENEPA,PUESTOS DE SALUD O POSTAS DE SALUD,I-2,LIMA,LIMA,VILLA EL SALVADOR,150142,EN FUNCIONAMIENTO,MINSA,-76.9306076,-12.2486993,True,,,0,0,0,False,LIMA,LIMA,VILLA EL SALVADOR
16766,SERVIMEDIC FERNANDEZ,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,Sin Categoría,LIMA,LIMA,ATE,150103,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,LIMA,LIMA,ATE
16753,GIANCARLO YVAN ALFARO RAMOS,CENTRO ODONTOLOGICO,I-1,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,070103,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO
18773,CONSULTORIO ODONTOLOGICO ORALSAINE,CENTRO ODONTOLOGICO,Sin Categoría,LIMA,LIMA,LOS OLIVOS,150117,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,LIMA,LIMA,LOS OLIVOS
19584,ESTETICA DENTAL SONRIE,CENTRO ODONTOLOGICO,Sin Categoría,LIMA,LIMA,SAN LUIS,150134,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,LIMA,LIMA,SAN LUIS
21285,MULTISERVICIOS DENTAL MEDIC,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,I-1,CALLAO,CALLAO,VENTANILLA,070106,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,CALLAO,CALLAO,VENTANILLA
5460,NUEVA BETANIA,PUESTOS DE SALUD O POSTAS DE SALUD,I-1,UCAYALI,CORONEL PORTILLO,CALLERIA,250101,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-74.29653113,-8.39836581,True,,,0,0,0,False,UCAYALI,CORONEL PORTILLO,CALLERIA
14416,MEDICENTRO VILLARREAL,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,I-2,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,220101,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,SAN MARTIN,MOYOBAMBA,MOYOBAMBA
13947,CONSULTORIO DENTAL PROSPERO ROJAS,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,I-1,LIMA,LIMA,SANTIAGO DE SURCO,150140,EN FUNCIONAMIENTO,PRIVADO,,,False,,,0,0,0,False,LIMA,LIMA,SANTIAGO DE SURCO
6431,PONGO ISLA,PUESTOS DE SALUD O POSTAS DE SALUD,I-1,SAN MARTIN,SAN MARTIN,HUIMBAYOC,220907,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-75.88581167,-6.43829833,True,,,0,0,0,False,SAN MARTIN,SAN MARTIN,HUIMBAYOC
3352,PAJJANA SAN AGUSTIN,PUESTOS DE SALUD O POSTAS DE SALUD,I-1,PUNO,YUNGUYO,YUNGUYO,211301,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-69.03532667,-16.26196833,True,,,0,0,0,False,PUNO,YUNGUYO,YUNGUYO
2941,CARLOS CORNEJO ROSELLO,HOSPITALES O CLINICAS DE ATENCION GENERAL,II-1,PUNO,AZANGARO,AZANGARO,210201,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-70.19933924,-14.9041434,True,GOBIERNO REGIONAL,CARLOS CORNEJO ROSELLO,4893,4697,12,True,PUNO,AZANGARO,AZANGARO
3101,JACHAJAA,PUESTOS DE SALUD O POSTAS DE SALUD,I-2,PUNO,MOHO,MOHO,210901,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-69.62749511,-15.29109598,True,,,0,0,0,False,PUNO,MOHO,MOHO
3309,MARIANO MELGAR,PUESTOS DE SALUD O POSTAS DE SALUD,I-2,PUNO,SAN ROMAN,SAN MIGUEL,211105,EN FUNCIONAMIENTO,GOBIERNO REGIONAL,-70.13631597,-15.47227834,True,,,0,0,0,False,PUNO,SAN ROMAN,SAN MIGUEL
