ubigeo,poblacion,superficie_km2
010101,29171,153.78
010102,288,25.71
010103,1644,357.09
010104,591,56.97
010105,687,143.43
010106,2064,278.63
010107,379,181.41
010108,1329,48.79
010109,5513,380.39
010110,4206,373.14
010111,862,77.54
010112,782,135.47
010113,986,83.58
010114,2750,333.86
010115,572,119.01
010116,363,125.16
010117,830,91.59
010118,351,47.41
010119,703,101.67
010120,1302,84.48
010121,218,113.26
010201,26091,150.99
010202,10940,809.07
010203,6319,99.05
010204,1492,18.48
010205,24323,4430.84
010206,8048,144.29
010301,1764,154.18
010302,335,174.96
010303,269,33.34
010304,1046,45.67
010305,899,110.72
010306,8663,203.22
010307,9349,88.83
010308,201,24.58
010309,310,100.76
010310,1819,127.29
010311,1281,90.14
010312,8470,1715.96
010401,29213,4481.63
010402,9620,5458.48
010403,16986,8035.28
010501,2292,69.49
010502,7131,376.01
010503,2517,355.85
010504,2263,106.6
010505,2083,256.17
010506,587,118.04
010507,1161,57.91
010508,961,83.82
010509,4420,91.21
010510,489,73.87
010511,945,80.27
010512,4259,177.39
010513,4194,235.86
010514,6132,306.5
010515,1536,71.22
010516,685,33.36
010517,821,113.94
010518,880,214.66
010519,506,88.02
010520,1908,126.21
010521,3537,84.93
010522,1363,102.67
010523,1378,12.68
010601,5290,206.01
010602,2079,153.0
010603,504,199.44
010604,2542,99.56
010605,3049,317.88
010606,1619,66.24
010607,1376,176.18
010608,599,26.8
010609,9787,175.13
010610,457,34.11
010611,448,6.02
010612,3803,899.02
010701,54033,746.64
010702,28491,1746.23
010703,8752,292.66
010704,6399,313.89
010705,8243,357.98
010706,10443,327.92
010707,2841,57.61
020101,65663,432.99
020102,1983,135.65
020103,826,50.65
020104,2235,209.34
020105,75559,342.95
020106,5106,59.84
020107,1138,164.26
020108,2148,222.91
020109,1165,357.81
020110,4794,162.5
020111,3755,243.73
020112,5936,110.28
020201,1841,159.74
020202,2270,267.15
020203,628,37.91
020204,2190,153.08
020205,828,78.84
020301,3552,90.82
020302,2130,69.03
020303,1670,73.99
020304,1909,48.95
020305,5370,175.69
020306,1648,103.13
020401,5619,447.69
020402,3130,80.97
020501,3587,184.16
020502,1263,11.31
020503,1065,118.7
020504,2465,434.6
020505,1603,193.06
020506,1308,19.45
020507,4165,274.61
020508,8325,873.39
020509,2610,387.91
020510,1076,127.99
020511,951,68.61
020512,566,115.84
020513,1771,211.98
020514,1298,43.78
020515,1291,89.41
020601,15712,194.62
020602,2685,14.17
020603,1571,11.99
020604,2510,40.77
020605,1353,47.22
020606,9452,157.49
020607,1630,11.74
020608,2794,133.89
020609,3318,130.19
020610,3301,15.44
020611,3462,46.43
020701,12689,256.45
020702,3690,197.39
020703,5591,170.41
020801,33648,1204.85
020802,4250,476.62
020803,2044,222.36
020804,8531,357.2
020901,1420,143.13
020902,442,56.54
020903,546,151.13
020904,2985,411.55
020905,1004,93.94
020906,704,45.85
020907,1041,85.87
021001,10423,398.91
021002,1581,80.31
021003,2552,159.35
021004,9251,434.13
