ubigeo,distrito,departamen,poblacion,ipress_per_10k,atenciones_per_10k,dist_mediana_km,pct_ccpp_10km,indice_baseline,quintil_baseline,etiqueta_baseline,indice_alternativo,quintil_alternativo,etiqueta_alternativo,cambio_quintil,cambio_abs
030219,KAQUIABAMBA,APURIMAC,3006.0,6.6534,0.0,16.784,0.0,0.4501,3,Medium,0.3607,1,Very low,-2.0,2.0
200704,LOBITOS,PIURA,1685.0,5.9347,0.0,13.151,0.0,0.4561,3,Medium,0.3401,1,Very low,-2.0,2.0
160508,SOPLIN,LORETO,707.0,28.2885,0.0,206.827,0.0,0.4462,2,Low,0.5267,4,High,2.0,2.0
020513,PACLLON,ANCASH,1771.0,11.2931,0.0,15.128,0.0,0.5409,4,High,0.441,2,Low,-2.0,2.0
200801,SECHURA,PIURA,44407.0,4.5038,5.4046,37.565,31.25,0.422,2,Low,0.5528,4,High,2.0,2.0
120904,HUACHAC,JUNIN,4027.0,9.933,0.0,12.478,0.0,0.5465,4,High,0.4253,2,Low,-2.0,2.0
160113,SAN JUAN BAUTISTA,LORETO,161819.0,1.6685,28.6122,36.132,13.86,0.3531,1,Very low,0.4588,3,Medium,2.0,2.0
030202,ANDARAPA,APURIMAC,6335.0,11.0497,0.0,13.939,0.0,0.5478,4,High,0.438,2,Low,-2.0,2.0
010611,TOTORA,AMAZONAS,448.0,22.3214,0.0,10.808,0.0,0.6475,5,Very high,0.5135,3,Medium,-2.0,2.0
211306,TINICACHI,PUNO,1629.0,6.1387,0.0,14.304,0.0,0.4527,3,Medium,0.3461,1,Very low,-2.0,2.0
030403,CARAYBAMBA,APURIMAC,1497.0,13.3601,0.0,65.248,0.0,0.4037,2,Low,0.4642,3,Medium,1.0,1.0
030301,ANTABAMBA,APURIMAC,3185.0,12.5589,0.0,73.753,0.0,0.3901,2,Low,0.4565,3,Medium,1.0,1.0
100902,CODO DEL POZUZO,HUANUCO,6630.0,12.0664,0.0,19.919,17.39,0.5206,3,Medium,0.5594,4,High,1.0,1.0
110405,TIBILLO,ICA,316.0,31.6456,0.0,48.447,0.0,0.4929,3,Medium,0.5309,4,High,1.0,1.0
080701,SANTO TOMAS,CUSCO,26992.0,4.0753,1408.936,25.291,13.47,0.493,3,Medium,0.5572,4,High,1.0,1.0
211202,CUYOCUYO,PUNO,4768.0,8.3893,0.0,21.521,0.0,0.4577,3,Medium,0.3983,2,Low,-1.0,1.0
030406,COTARUSE,APURIMAC,5444.0,16.532,0.0,56.654,0.0,0.4393,2,Low,0.4912,3,Medium,1.0,1.0
030414,TAPAIRIHUA,APURIMAC,2252.0,13.3215,0.0,51.023,0.0,0.4202,2,Low,0.4638,3,Medium,1.0,1.0
030407,IHUAYLLO,APURIMAC,739.0,27.0636,0.0,38.74,0.0,0.5144,3,Medium,0.5249,4,High,1.0,1.0
090614,SANTIAGO DE QUIRAHUARA,HUANCAVELICA,658.0,15.1976,0.0,56.832,0.0,0.4286,2,Low,0.4811,3,Medium,1.0,1.0
030714,CURASCO,APURIMAC,1624.0,12.3153,0.0,42.902,0.0,0.4305,2,Low,0.4533,3,Medium,1.0,1.0
030701,CHUQUIBAMBILLA,APURIMAC,5410.0,14.7874,0.0,57.484,0.0,0.4234,2,Low,0.4772,3,Medium,1.0,1.0
110303,EL INGENIO,ICA,2697.0,11.1235,0.0,20.524,0.0,0.5049,3,Medium,0.4391,2,Low,-1.0,1.0
030305,OROPESA,APURIMAC,3127.0,15.9898,0.0,53.615,0.0,0.4387,2,Low,0.487,3,Medium,1.0,1.0
030401,CHALHUANCA,APURIMAC,5098.0,7.8462,0.0,44.613,0.0,0.3602,1,Very low,0.3871,2,Low,1.0,1.0
030711,TURPAY,APURIMAC,746.0,13.4048,0.0,56.934,0.0,0.4119,2,Low,0.4648,3,Medium,1.0,1.0
080703,CHAMACA,CUSCO,8971.0,5.5735,0.0,27.487,6.09,0.3603,1,Very low,0.4239,2,Low,1.0,1.0
030709,SAN ANTONIO,APURIMAC,358.0,27.933,0.0,53.048,0.0,0.4793,3,Medium,0.5263,4,High,1.0,1.0
080702,CAPACMARCA,CUSCO,4620.0,4.329,0.0,19.979,0.0,0.3664,2,Low,0.2963,1,Very low,-1.0,1.0
030713,VIRUNDO,APURIMAC,1305.0,7.6628,0.0,65.132,0.0,0.3234,1,Very low,0.3836,2,Low,1.0,1.0
110104,OCUCAJE,ICA,3816.0,10.4822,0.0,21.126,0.0,0.4946,3,Medium,0.4326,2,Low,-1.0,1.0
080707,QUIÑOTA,CUSCO,4990.0,6.012,0.0,16.362,0.0,0.4333,2,Low,0.3413,1,Very low,-1.0,1.0
